Subject,Average Levenshtein Distance,Anagrams pronounced,Middle letter migrations,Exterior Migrations
5.1,0.7166666666666667,6,1,5
5.2,0.5166666666666667,3,0,3
5.3,0.6166666666666667,5,1,4
5.4,1.45,5,0,5
5.5,1.2666666666666666,6,0,6
5.7,0.4166666666666667,1,1,0
5.8,0.4666666666666667,2,2,0
5.9,0.6333333333333333,4,0,4
5.10,0.45,2,0,2
5.11,0.2833333333333333,2,1,1
5.12,0.9333333333333333,9,0,9
5.13,0.8166666666666667,8,0,8
5.14,1.2166666666666666,5,0,5
5.15,0.2833333333333333,0,0,0
5.16,0.5666666666666667,10,2,8
5.17,0.6333333333333333,3,0,3
5.18,0.7833333333333333,9,1,8
5.19,0.45,2,0,2
4.1,0.6333333333333333,2,0,2
4.10,0.26666666666666666,1,0,1
4.11,0.5333333333333333,4,0,4
4.12,0.55,2,0,2
4.13,0.48333333333333334,3,0,3
4.15,0.35,2,0,2
4.16,0.85,8,0,8
4.17,1.6166666666666667,8,1,7
4.19,0.43333333333333335,2,0,2
4.2,0.75,7,0,7
4.20,0.5333333333333333,4,0,4
4.22,0.36666666666666664,0,0,0
4.23,0.4166666666666667,1,1,0
4.3,1.65,8,0,8
4.5,0.21666666666666667,2,0,2
4.6,0.55,5,0,5
4.7,0.2833333333333333,1,0,1
4.8,0.4666666666666667,3,0,3
4.9,0.7,7,1,7
3.10,0.6833333333333333,7,1,6
3.11,0.5166666666666667,3,0,3
3.12,0.4666666666666667,2,0,2
3.13,0.65,2,0,2
3.14,0.4666666666666667,3,0,3
3.15,0.7166666666666667,4,0,4
3.16,0.5833333333333334,5,1,4
3.17,1.65,8,0,8
3.18,1.9166666666666667,5,0,5
3.19,0.4166666666666667,4,1,3
3.20,0.9166666666666666,4,0,4
3.21,0.6666666666666666,6,1,6
3.25,0.3333333333333333,2,0,2
3.26,0.9,7,0,7
3.27,1.0833333333333333,7,0,7
3.28,1.1166666666666667,4,1,3
3.29,1.0166666666666666,3,0,3
3.3,0.9,2,0,2
3.30,0.8,5,0,5
3.31,0.9,1,1,0
3.32,1.7666666666666666,6,1,5
3.33,1.6,4,0,4
3.35,1.25,9,1,9
3.36,0.5,4,1,3
3.37,0.38333333333333336,0,0,0
3.38,0.5,6,1,5
3.39,1.3,1,0,1
3.4,0.7833333333333333,6,1,5
3.40,0.31666666666666665,3,2,1
3.41,0.7,1,0,1
3.42,1.2166666666666666,2,0,2
3.43,0.9833333333333333,6,1,5
3.45,0.4166666666666667,0,0,0
3.46,0.7,3,0,3
3.47,1.0666666666666667,4,3,1
3.48,1.1,3,2,1
3.49,0.48333333333333334,1,0,1
3.5,1.1166666666666667,7,0,7
3.50,0.38333333333333336,1,0,1
3.51,0.35,3,1,3
3.52,0.9333333333333333,6,0,6
3.53,0.18333333333333332,1,0,1
3.54,0.11666666666666667,1,0,1
3.55,0.26666666666666666,2,0,2
3.7,0.4666666666666667,0,0,0
3.9,1.4,0,0,0
2.1,1.6833333333333333,2,0,2
2.4,0.75,6,0,6
2.5,0.4666666666666667,7,1,6
2.7,1.2666666666666666,5,0,5
2.8,1.4,10,0,10
