subject,avg_ld_eng,anagrams_eng,ml_migrations_eng,el_migrations_eng,avg_ld_ben,anagrams_ben,ml_migrations_ben,el_migrations_ben
5.12,0.783,0.933,21,9,18,0,3,9
5.13,1.083,0.816,27,8,24,0,3,8
5.16,0.733,0.566,19,10,17,2,2,8
5.18,1.083333333,0.7833333333,21,9,18,1,3,8
4.16,1,0.85,22,8,20,0,2,8
4.17,0.95,1.616666667,18,8,16,1,2,7
4.3,1.133333333,1.65,23,8,20,0,3,8
3.17,1.516666667,1.65,22,8,18,0,4,8
3.26,1.133333333,0.9,28,7,25,0,3,7
3.27,1.033333333,1.083333333,25,7,22,0,3,7
3.5,1.366666667,1.116666667,15,7,13,0,2,7
2.8,1.316666667,1.4,26,10,21,0,5,10
