Subject,avg_ld_eng,anagrams_eng,ml_migrations_eng,el_migrations_eng,avg_ld_ben,anagrams_ben,ml_migrations_ben,el_migrations_ben
5.12,0.783,21,18,3,0.933,9,0,9
5.13,1.083,27,24,3,0.816,14,1,13
5.16,0.733,19,17,2,0.566,10,2,8
5.18,1.083,21,18,3,0.783,9,1,8
4.16,1,22,20,2,0.85,11,1,10
4.17,0.95,18,16,2,1.616,10,1,9
4.3,1.133,23,20,3,1.65,10,1,9
3.17,1.516,22,18,4,1.65,11,1,10
3.26,1.133,28,25,3,0.9,11,1,10
3.27,1.033,25,22,3,1.083,11,0,11
3.5,1.366,15,13,2,1.116,11,2,9
2.8,1.316,26,21,5,1.4,14,0,14
