Subject,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60
Original,গোপাল,কলম,বাক্য,তারকা,আমরা,তালিম,মাথায়,মকর,তুলসী,বালতি,করেন,প্রমাণ,বকুল,নরম,চরকি,তাকালো,ধরন,আনাজ,মানতেই,কদম,নেতারা,সতর্ক,সেবন,ঘটনাটি,এলাকা,বিবর্ণ,নীতি,মাতাল,জলপনা,অনুমতি,গোলাপ,কমল,কাব্য্,কাতার,আরাম,তামিল,থামায়,রকম,শীতল,বাতিল,কনের,প্রণাম,কবূল,মরন,চাকরি,কাতলা,নধর,আজান,মাতানই,দমক,তেনারা,সৈকত,ব্যাসন,ঘণ্টাটি,একলা,বিবরণ,তিনি,তমাল,জলপান,অনুমিত
5.1,গোপাল,কলম,বাক্য,তারকা,আমরা,তালিম,মাথায়,মকর,তুলছি,বালতি,করেন,রহমান,বকুল,নরম,চরকি,তাকাল,ধরণ,আরআজ,মানতেই,কদম,নেতারা,সর্থক,সেবন,ঘন্টাটি,এলাকা,বীবমোণ,নীতি,মাতাল,জলপানা,অনুমতি,গোপাল,কলম,কাব্য্,কাতার,আরাম,তামিল,নামক,রকম ,শীতল,বাতিল,কনের,প্রণাম,কবল,মরন,চাকরি,কাতলা,নধর,আজান,মাতনাই,দমক,তনারা,সৈতক,বোম্মাণ,ঘন্টাটি,একলা,বিবরণ,তিনি,তমলা,জলপান,অনুমতি
5.2,কপাল,কলম,বাক্য,তরকা,আমরা,তালিম,মাথায়,মকর,তুলসী ,বালতি,করেন,প্রমাণ ,বকুল,নরম,চরকি,তাকাল,ধরণ,অনাজ,মানতেই,কদম,তেনারা,সতর্ক,সেভেন,ঘটনাটি,এলাকে,বিবর্ণ,নীতি,মাতাল,জলপানা,অনুমতি,গোপাল,কলম,কাব্য্,কাতার,আরাম,আমিল,থামায়,রকম ,শীতল,বাতিল,কনের,প্রথম,বকুল,মরন,চরকি,কাতলা,নধর,আজান,মাতানই,দমক,তেনারা,সৈকত,বাসন,ঘটনাটি,একলা,বিবরণ,তিনি,তোমাল,জলপান,অনুমিত
5.3,গোপাল,কলম,বাক্য ,তরকা,আমরা,তালিম,মাতায়,মকর,তুলসী,বালতি,করেন,প্রমাণ,বুকুল,নরম,চরকি,বাকালো,ধরণ,অনাজ,মানতেই,কদম,নিতারা,সর্তক,সেবান,ঘটনাটি,এলাকায়,বিবন,নীতি,মাতাল,জলপনা,অনুমতি,গোপাল,কমল,কাব্য্,কাতা,আরাম,তামিল,থামায়,রকম ,শীতল,বাতিল,কনের,প্রমাণ,কবূল,মরন,চরকি,কাতাল,নধর,আজান,মাতাল,ধমক,তেনারা,সৈকক,বাসন,ঘটনাটি,একলা,বিবরণ,তিনি,তমাল,জলপান,অনুমতি
5.4,গোলাপি,কমলা,বাক্য ,তারকা,আমার,তামিল,মাথায়,মকর,তুলসী,বালতি,কদমনেতার,একটা,বাকুল,নরম,চাকরি,কাজল,ভোমরা,আজান,মানতেই,কদম,নেতার,সকত,বেনা,ঘনটান,একলাখটা,বিনা,নীতি,মাতাল,জলপানি,অনুমিতি,গোলাপি,কমলা,কাব্য্,কাতাল,আরাম,তামিল,থামায়,রকম ,শীতল,বাতিল,কেনের,প্রান্নম,কুবুল,মরন,চরকি,কাতল,নরধন,আজন,মাতান,দমক,তনার,সেকত,বরগসন,ঘন্টাটি,একলা,বিরকন,তিনি,তমলা,জলপানি,অনুমতি
5.5,গল্প,কমল,বাক্য,তরকা,আমার ,তারই,মাথায় ,মকর,মুসলিমিন,বালি,করেন,প্রবিন,কবুল,নবন,চরকি,তলকা,ধরেন,আনাজ,মাতাল,কদম,নেতার,সৈতক,সেবান,,এলাকা,বিবর্ণ,,মাতলা,জলপন,,গল্প,কমল,কাবর,কতার,আমার,তামিল,থামে,রমক,শীতল,বাতিল,কনের,প্রণাম,কবূল,মরন,চকির,কাতলা,নধির,আমার,মাতায়ে,দমক,,সৈকত,,,একলা,বিবরণ,তিনি,তমাল,জলপান,আমিত
5.7,গোপাল,কলম,বাক্য,তারকা,আমরা,তালিম,মাথায়,মকর,তুলসী,বালতি,করণ,প্রমাণ ,বকুল,নরম,চারকী,তাকলো,ধরণ,আনাজ,মনতই,কদম,নেতারা,সর্তক,সেবন,ঘটনাটি,একলা,বিবরণ,নীতি,মাতাল,জলপানা,অনুমতি,গোলাপ,কমল,কাব্য্,কাতার,আরাম,তামিল,থামায়,রকম ,শীতল,বাতিল,কনের,প্রণাম,বকুল,মরন,চাকরি,কাতলা,নধর,আজান,মাতানেই,দমক,তেনারা,সৈকত,বাসন,ঘটনাটি,একলা,বিবরণ,তিনি,তমাল,জলপান,তনুমিত
5.8,গোপাল,কলম,বাক্য,তারকা,আমরা,তালিম,মাথায়,মকর,তুলসি ,বালতি,করেন,প্রমাণ,বকুল,নরম,চরকি,তাকালো,তামিল,আনাজ,করুন,কদম,নেতারা,সর্তক,সেবন,ঘটনাটি,এলাকায়,বিবরণ,নীতি,মাতাল,জলপনা,অনুমতি,গোলাপ,কমল,কাব্য্,কাতার,আরাম,তামিল,থামায়,রকম ,শীতল,বাতিল,কানের,প্রণাম,কবূল,মরুন,চাকরি,কাতলা,নধর,আজান,মাতনাই,ধমক,তেনারা,সৈকত,বাসন,ঘটনাটি,একলা,বিবরণ,তিনি,তামাল,জলপান,অনুমিত
5.9,গোপাল,কমল,বাক্য,তারকা,আমরা,তালিম,মাথায়,মকর,তুলসি ,বালতি,কলেন,প্রমাণ,বকুল,নরম,চোরনি,তাকালো,ধরণ,আনাস,মানতেই,কদম,নেতারা,সরতক,সেবন,ঘটনাটি,এলাকা,বিবরণ,সিতি,মাতাল,জলপনা,অনুমতি,গোপাল,কমল,কাব্য্,কাতাল,আমার,তামিল,থামার,রকম ,শীতল,বাতিল,কনের,প্রণাম,কবূল,মনর,চাকরি,কাতলা,নধর,আজান,তাতনাইনি,দমক,তেনারা,সৈকত,বসন,ঘটনাটি,একলা,বিপ্রন,তিনি,তমলার,জলপান,তনুমিত
5.10,গোপাল,কলম,বাক্য,তারকা,আমরা,তালিম,মাথায়,মুকুট,তুলসী,বালতি,করণ,প্রমাণ,বকুল,নরম,চরকি,তাকাল,ধরণ,আনাজ,মানতেই,কদম,তেনারা,সার্থক,সেবন,ঘটনাটি,এলাকায়,বিবর্ণ,নীতি,মাতাল,জালপনা,অনুমতি,গোলাপ,কমল,কাব্য্,কাতার,আরাম,তামিল,থামায়,রকম,শিতিল,বাতিল,কানের,প্রণাম,কবূল,মরন,চাকরি,কাতলা,নধর,আজান,মাতানেই,ধমক,তেনারা,সৈকত,ব্যাসন,ঘটনাটি,একলা,বিবিরন,তিনি,তামাল,জলপান,অনুমতি
